case,nit_noP,nit_P,adj_nit_noP,adj_nit_P
cryg2500,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol
dw2048,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol
dw8192,maximum number of iterations exceeded,maximum number of iterations exceeded,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol
dwa512,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol
dwb512,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol
mhd3200a,solution xᶜ good enough given atol and rtol,maximum number of iterations exceeded,maximum number of iterations exceeded,maximum number of iterations exceeded
mhd4800a,maximum number of iterations exceeded,maximum number of iterations exceeded,maximum number of iterations exceeded,maximum number of iterations exceeded
qh1484,maximum number of iterations exceeded,maximum number of iterations exceeded,maximum number of iterations exceeded,maximum number of iterations exceeded
qh768,maximum number of iterations exceeded,maximum number of iterations exceeded,maximum number of iterations exceeded,maximum number of iterations exceeded
rdb1250,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol
rdb1250l,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol
rdb200,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol
rdb200l,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol
rdb2048_noL,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol
rdb3200l,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol
rdb450,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol
rdb450l,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol
rdb800l,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol
tols1090,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol
tols2000,maximum number of iterations exceeded,maximum number of iterations exceeded,maximum number of iterations exceeded,maximum number of iterations exceeded
tols340,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol
tols4000,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,maximum number of iterations exceeded,maximum number of iterations exceeded
tols90,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,maximum number of iterations exceeded,maximum number of iterations exceeded
